Year,"Total forcing [V,S,L,G]"
850,-0.0998942
851,-0.0890597799
852,-0.0643424923
853,-0.0329460867999999
854,-0.0169382746
855,-1.7461893607
856,-1.043025607
857,-0.225106757
858,-0.0803066129999999
859,-0.075429434
860,-0.086537037
861,-0.09967506
862,-0.0919343099999999
863,-0.06748026
864,-0.0364756299999999
865,-0.0206843
866,-0.00267593
867,-0.01831314
868,-0.03722964
869,-0.05175558
870,-0.07442517
871,-1.8071101899999995
872,-1.14442096
873,-0.29096455
874,-0.10668111
875,-0.0500626199999999
876,-0.0303139289999999
877,-0.01373961
878,-0.30272779
879,-0.2292259299999999
880,-0.0960730299999999
881,-0.08895619
882,-0.0997103999999999
883,-0.111955
884,-0.102531
885,-0.0819692
886,-0.055598
887,-0.0422492
888,-0.0270572
889,-0.04075
890,-0.0570634
891,-0.0696278
892,-0.0891089
893,-0.1031411
894,-0.2967186999999999
895,-0.2295139
896,-0.1105316
897,-0.06451728
898,-0.047155963
899,-0.3344195
900,-0.2454804
901,-0.0975885
902,-1.6513683
903,-1.0626407
904,-0.2860787999999999
905,-0.1450158
906,-0.1151309399999999
907,-0.086151143
908,-0.0555617999999999
909,-0.0398367
910,-0.0217404
911,-0.0354366
912,-0.0521291
913,-0.0646475
914,-0.0850303
915,-0.0994133
916,-0.111328
917,-0.107011
918,-0.0810294
919,-0.0481516
920,-0.0307777
921,-0.0111113999999999
922,-0.0260526
923,-0.0442015
924,-0.0581254
925,-0.0799971
926,-0.0953136
927,-0.1080138
928,-0.1051628
929,-0.0750951
930,-0.8844123
931,-0.4702943
932,-0.0769517
933,-0.025319
934,-2.0672235
935,-1.4004087
936,-0.3317391
937,-0.1349170999999999
938,-0.1127047499999999
939,-0.101823131
940,-0.2000858
941,-0.0969463
942,-0.0175793
943,0.0175044499999999
944,-0.0007880889999999
945,-0.0248013999999999
946,-0.3397981999999999
947,-0.2360294
948,-0.1242433
949,-0.11795142
950,-0.100977663
951,-0.0711309
952,-0.0345739
953,-0.0161839999999999
954,0.0049718999999999
955,-0.0148666
956,-0.0383955
957,-0.0567113
958,-0.0849763
959,-0.1054504
960,-0.1226999
961,-0.1071851
962,-1.4194844
963,-0.8010127
964,-0.1745223
965,-0.0421755999999999
966,-0.0390944099999999
967,-0.054840105
968,-0.0692815
969,-0.0923561
970,-0.1087641
971,-0.1224753
972,-0.1113576
973,-0.0881470999999999
974,-0.0587117
975,-0.0432908
976,-0.0258166
977,-0.0395234999999999
978,-0.0561505999999999
979,-0.0686301
980,-0.0887001999999999
981,-0.1033583
982,-0.1151146
983,-0.105067
984,-0.0829854
985,-0.0552376
986,-0.0406936
987,-0.02421923
988,-0.5773714700000001
989,-0.39367309
990,-0.13053633
991,-0.09510075
992,-0.09909274
993,-0.1083601779999999
994,-0.0955491099999999
995,-0.076998726
996,-0.054070707
997,-0.04154201
998,-0.0274754799999999
999,-0.03764161
1000,-0.05010816
1001,-0.05918903
1002,-1.76039037
1003,-1.0846879
1004,-0.279434
1005,-0.1180088
1006,-0.07116853
1007,-0.041001189
1008,-0.0263794999999999
1009,-0.0105772
1010,-0.0197035999999999
1011,-0.0314558
1012,-0.0397492999999999
1013,-0.0541812
1014,-0.064055
1015,-0.0720748
1016,-0.0683439
1017,-0.0464644999999999
1018,-0.019309
1019,-0.4572683999999999
1020,-0.2898043999999999
1021,-0.0589172
1022,-0.02627923
1023,-0.02975151
1024,-0.0470453359999999
1025,-0.0609598
1026,-0.073329
1027,-0.0586336
1028,-0.0459074
1029,-0.029722
1030,-0.0223195
1031,-0.6194872
1032,-0.348722
1033,-0.0964264
1034,-0.0576593999999999
