Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Annual_uncertainty
1850.0,-0.675,-0.333,-0.591,-0.589,-0.509,-0.344,-0.16,-0.208,-0.385,-0.533,-0.283,-0.404,-0.418,0.15534897989866414
1851.0,-0.201,-0.469,-0.646,-0.542,-0.198,-0.137,-0.097,-0.102,-0.091,-0.008,-0.082,-0.228,-0.233,0.19631626623611426
1852.0,-0.375,-0.477,-0.56,-0.585,-0.127,-0.084,0.005,-0.136,-0.002,-0.172,-0.305,0.065,-0.229,0.21620571158556895
1853.0,-0.233,-0.404,-0.28,-0.386,-0.268,-0.142,-0.083,-0.057,-0.25,-0.392,-0.411,-0.337,-0.27,0.11876456051084151
1854.0,-0.381,-0.361,-0.243,-0.334,-0.289,-0.299,-0.179,-0.239,-0.217,-0.095,-0.41,-0.45,-0.292,0.09823480233038029
1855.0,-0.159,-0.313,-0.344,-0.218,-0.387,-0.333,-0.333,-0.2,-0.271,-0.195,-0.389,-0.42,-0.297,0.08292751185355932
1856.0,-0.076,-0.337,-0.358,-0.316,-0.285,-0.214,-0.225,-0.238,-0.388,-0.438,-0.552,-0.418,-0.32,0.11953692479267186
1857.0,-0.495,-0.435,-0.479,-0.644,-0.659,-0.304,-0.411,-0.369,-0.38,-0.473,-0.685,-0.274,-0.467,0.12968894410173223
1858.0,-0.295,-0.477,-0.548,-0.428,-0.532,-0.38,-0.336,-0.278,-0.283,-0.289,-0.366,-0.455,-0.389,0.09361397539304103
1859.0,-0.381,-0.344,-0.314,-0.157,-0.152,-0.25,-0.312,-0.245,-0.394,-0.255,-0.288,-0.284,-0.281,0.07291242844825717
1860.0,-0.391,-0.468,-0.786,-0.306,-0.364,-0.211,-0.185,-0.114,-0.131,-0.346,-0.605,-0.774,-0.39,0.22052454826818915
1861.0,-0.918,-0.625,-0.416,-0.386,-0.66,-0.251,-0.297,-0.041,-0.27,-0.477,-0.458,-0.351,-0.429,0.21738553820855297
1862.0,-0.825,-0.716,-0.535,-0.522,-0.348,-0.307,-0.345,-0.456,-0.362,-0.449,-0.678,-0.895,-0.536,0.19010326141336975
1863.0,-0.076,-0.25,-0.355,-0.288,-0.384,-0.368,-0.312,-0.297,-0.352,-0.504,-0.441,-0.503,-0.344,0.11168395388575549
1864.0,-0.853,-0.593,-0.499,-0.544,-0.324,-0.113,-0.26,-0.308,-0.443,-0.603,-0.456,-0.59,-0.465,0.18708621007439324
1865.0,-0.176,-0.467,-0.661,-0.448,-0.377,-0.195,-0.215,-0.212,-0.171,-0.269,-0.337,-0.461,-0.332,0.14710962937739855
1866.0,-0.132,-0.401,-0.682,-0.454,-0.573,-0.098,-0.008,-0.249,-0.378,-0.421,-0.298,-0.4,-0.341,0.1874512529225191
1867.0,-0.405,-0.354,-0.681,-0.421,-0.575,-0.35,-0.253,-0.33,-0.148,-0.125,-0.196,-0.445,-0.357,0.158554122375365
1868.0,-0.685,-0.693,-0.334,-0.363,-0.286,-0.297,-0.06,-0.193,-0.345,-0.23,-0.423,-0.314,-0.352,0.17487112317996426
1869.0,-0.336,0.131,-0.626,-0.406,-0.31,-0.385,-0.417,-0.168,-0.172,-0.293,-0.282,-0.537,-0.317,0.1854198501599366
1870.0,-0.211,-0.455,-0.498,-0.333,-0.298,-0.231,-0.073,-0.258,-0.202,-0.443,-0.266,-0.666,-0.328,0.15442518864773613
1871.0,-0.558,-0.672,-0.171,-0.222,-0.362,-0.286,-0.082,-0.322,-0.361,-0.373,-0.523,-0.489,-0.369,0.16280123788090667
1872.0,-0.599,-0.621,-0.524,-0.385,-0.142,-0.279,-0.146,0.009,-0.176,-0.204,-0.322,-0.548,-0.328,0.19823406129007085
1873.0,-0.262,-0.283,-0.409,-0.481,-0.351,-0.321,-0.176,-0.228,-0.405,-0.391,-0.463,-0.328,-0.341,0.08942827666161673
1874.0,-0.199,-0.438,-0.673,-0.437,-0.334,-0.566,-0.167,-0.296,-0.168,-0.471,-0.418,-0.312,-0.373,0.15086037971139626
1875.0,-0.571,-0.479,-0.564,-0.358,-0.273,-0.28,-0.182,-0.246,-0.234,-0.233,-0.509,-0.577,-0.376,0.14644765845402466
1876.0,-0.514,-0.337,-0.362,-0.424,-0.59,-0.352,-0.214,-0.327,-0.418,-0.3,-0.607,-0.643,-0.424,0.12994357749936444
1877.0,-0.411,-0.209,-0.091,-0.346,-0.411,-0.138,-0.016,0.211,0.108,0.113,0.034,-0.056,-0.101,0.19992790367196536
1878.0,-0.07,0.229,0.361,0.189,-0.122,0.01,-0.077,-0.047,0.021,-0.165,-0.143,-0.323,-0.011,0.18197639880551056
1879.0,-0.238,-0.266,-0.258,-0.382,-0.344,-0.283,-0.264,-0.265,-0.236,-0.159,-0.397,-0.55,-0.304,0.09745640050812467
1880.0,-0.394,-0.45,-0.194,-0.338,-0.325,-0.381,-0.315,-0.107,-0.297,-0.391,-0.281,-0.317,-0.316,0.08879173510086523
1881.0,-0.215,-0.225,-0.248,-0.063,-0.122,-0.399,-0.194,-0.138,-0.301,-0.231,-0.381,-0.271,-0.232,0.09482732845663333
1882.0,-0.025,-0.117,-0.177,-0.315,-0.326,-0.392,-0.341,-0.245,-0.15,-0.399,-0.404,-0.655,-0.296,0.16000338538085165
1883.0,-0.473,-0.485,-0.266,-0.439,-0.34,-0.19,-0.219,-0.288,-0.306,-0.34,-0.396,-0.415,-0.346,0.09276265262605539
1884.0,-0.444,-0.333,-0.505,-0.509,-0.566,-0.514,-0.566,-0.429,-0.504,-0.463,-0.585,-0.49,-0.492,0.06651106841888965
1885.0,-0.656,-0.553,-0.421,-0.635,-0.606,-0.637,-0.42,-0.405,-0.357,-0.362,-0.384,-0.218,-0.471,0.135258292002951
1886.0,-0.48,-0.479,-0.487,-0.362,-0.293,-0.502,-0.302,-0.457,-0.391,-0.413,-0.491,-0.395,-0.421,0.0704887697911282
1887.0,-0.744,-0.659,-0.445,-0.483,-0.529,-0.526,-0.389,-0.446,-0.389,-0.445,-0.435,-0.497,-0.499,0.10183766357405409
1888.0,-0.618,-0.587,-0.597,-0.352,-0.411,-0.322,-0.339,-0.311,-0.325,-0.166,-0.265,-0.259,-0.379,0.13988527045006877
1889.0,-0.297,-0.007,-0.087,-0.087,-0.158,-0.213,-0.281,-0.307,-0.342,-0.37,-0.506,-0.344,-0.25,0.13713585619944754
1890.0,-0.534,-0.465,-0.611,-0.494,-0.536,-0.495,-0.489,-0.467,-0.482,-0.439,-0.67,-0.399,-0.507,0.07063300102171317
1891.0,-0.58,-0.598,-0.363,-0.448,-0.346,-0.375,-0.4,-0.355,-0.257,-0.343,-0.534,-0.218,-0.401,0.11387014412137283
1892.0,-0.465,-0.29,-0.533,-0.546,-0.457,-0.436,-0.587,-0.508,-0.382,-0.434,-0.661,-0.792,-0.508,0.1261225979839546
1893.0,-1.045,-0.845,-0.427,-0.515,-0.572,-0.442,-0.244,-0.287,-0.365,-0.304,-0.405,-0.485,-0.495,0.22483450703918992
1894.0,-0.628,-0.429,-0.512,-0.537,-0.519,-0.584,-0.392,-0.354,-0.44,-0.399,-0.46,-0.552,-0.484,0.08077936342628331
1895.0,-0.636,-0.642,-0.618,-0.461,-0.483,-0.425,-0.335,-0.377,-0.394,-0.326,-0.321,-0.367,-0.449,0.11622401143194694
1896.0,-0.315,-0.337,-0.588,-0.546,-0.356,-0.23,-0.182,-0.172,-0.155,-0.118,-0.314,-0.094,-0.284,0.15195254650346893
1897.0,-0.3,-0.349,-0.415,-0.118,-0.114,-0.163,-0.187,-0.185,-0.186,-0.212,-0.423,-0.465,-0.26,0.11963912751827192
1898.0,-0.199,-0.556,-0.843,-0.663,-0.56,-0.335,-0.395,-0.389,-0.371,-0.501,-0.529,-0.49,-0.486,0.16003356852721728
1899.0,-0.36,-0.554,-0.589,-0.439,-0.359,-0.501,-0.366,-0.24,-0.152,-0.183,-0.057,-0.466,-0.355,0.16021626009865542
1900.0,-0.507,-0.203,-0.2,-0.224,-0.303,-0.217,-0.191,-0.211,-0.196,-0.065,-0.263,-0.236,-0.234,0.09790244577582773
1901.0,-0.281,-0.268,-0.201,-0.175,-0.249,-0.237,-0.329,-0.205,-0.355,-0.341,-0.396,-0.484,-0.293,0.08684512875739715
1902.0,-0.44,-0.232,-0.474,-0.43,-0.43,-0.445,-0.389,-0.425,-0.373,-0.5,-0.563,-0.566,-0.439,0.08492688849174264
1903.0,-0.434,-0.24,-0.398,-0.588,-0.516,-0.548,-0.505,-0.601,-0.56,-0.665,-0.63,-0.714,-0.533,0.1235395516963427
1904.0,-0.807,-0.77,-0.696,-0.647,-0.609,-0.564,-0.553,-0.478,-0.597,-0.553,-0.397,-0.5,-0.598,0.11365185020735719
1905.0,-0.463,-0.72,-0.524,-0.56,-0.434,-0.343,-0.373,-0.304,-0.345,-0.335,-0.217,-0.274,-0.408,0.13466150980225278
1906.0,-0.297,-0.389,-0.289,-0.104,-0.376,-0.232,-0.343,-0.272,-0.353,-0.322,-0.532,-0.32,-0.319,0.09688778589458816
1907.0,-0.529,-0.619,-0.438,-0.478,-0.645,-0.544,-0.425,-0.491,-0.399,-0.336,-0.556,-0.59,-0.504,0.08949937926538312
